name,diet,period_description,period,period_from,period_to,lived_in,type,length,taxonomy,named_description,named_by,named_year,species,link
Hypacrosaurus,herbivorous,Late Cretaceous 70 million years ago,Late Cretaceous,70,70,USA,euornithopod,9.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Brown (1913),Brown,1913,altispinus,https://www.nhm.ac.uk/discover/dino-directory/hypacrosaurus.html
Hypsilophodon,herbivorous,Early Cretaceous 125 million years ago,Early Cretaceous,125,125,United Kingdom,euornithopod,2.3,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Hypsilophodontidae,Huxley (1869),Huxley,1869,foxii,https://www.nhm.ac.uk/discover/dino-directory/hypsilophodon.html
Iguanodon,herbivorous,Early Cretaceous 140-110 million years ago,Early Cretaceous,140,110,United Kingdom,euornithopod,10.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Boulenger and van Beneden (1881),Boulenger and van Beneden,1881,bernissartensis,https://www.nhm.ac.uk/discover/dino-directory/iguanodon.html
Indosuchus,carnivorous,Late Cretaceous 71-65 million years ago,Late Cretaceous,71,65,India,large theropod,7.0,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,Huene and Matley (1933),Huene and Matley,1933,raptorius,https://www.nhm.ac.uk/discover/dino-directory/indosuchus.html
Irritator,carnivorous,Early Cretaceous 112-99 million years ago,Early Cretaceous,112,99,Brazil,large theropod,6.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Spinosaurinae,Martill Cruickshank Frey Small and Clarke (1996),Martill Cruickshank Frey Small and Clarke,1996,challengeri,https://www.nhm.ac.uk/discover/dino-directory/irritator.html
Isisaurus,herbivorous,Late Cretaceous 71-65 million years ago,Late Cretaceous,71,65,India,sauropod,,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Jain and Bandyopadhyay (1997),Jain and Bandyopadhyay,1997,colberti,https://www.nhm.ac.uk/discover/dino-directory/isisaurus.html
Janenschia,herbivorous,Late Jurassic 154-151 million years ago,Late Jurassic,154,151,Tanzania,sauropod,20.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Wild (1991),Wild,1991,robusta,https://www.nhm.ac.uk/discover/dino-directory/janenschia.html
Jaxartosaurus,herbivorous,Late Cretaceous 94-84 million years ago,Late Cretaceous,94,84,Kazakhstan,euornithopod,9.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Riabinin (1939),Riabinin,1939,aralensis,https://www.nhm.ac.uk/discover/dino-directory/jaxartosaurus.html
Jingshanosaurus,herbivorous,Early Jurassic 205-190 million years ago,Early Jurassic,205,190,China,sauropod,5.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria,Zhang and Yang (1995),Zhang and Yang,1995,xinwaensis,https://www.nhm.ac.uk/discover/dino-directory/jingshanosaurus.html
Jinzhousaurus,herbivorous,Early Cretaceous 127-121 million years ago,Early Cretaceous,127,121,China,euornithopod,,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Wang and Xu (2001),Wang and Xu,2001,yangi,https://www.nhm.ac.uk/discover/dino-directory/jinzhousaurus.html
Jobaria,herbivorous,Early Cretaceous 132-94 million years ago,Early Cretaceous,132,94,Niger,sauropod,21.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria,Sereno Beck Dutheil Larsson Lyon Moussa Sadleir Sidor Varricchio Wilson and Wilson (1999),Sereno Beck Dutheil Larsson Lyon Moussa Sadleir Sidor Varricchio Wilson and Wilson,1999,tiguidensis,https://www.nhm.ac.uk/discover/dino-directory/jobaria.html
Juravenator,carnivorous,Late Jurassic 154-151 million years ago,Late Jurassic,154,151,Germany,small theropod,0.8,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,Göhlich &amp; Chiappe (2006),Göhlich &amp; Chiappe,2006,starki,https://www.nhm.ac.uk/discover/dino-directory/juravenator.html
Kentrosaurus,herbivorous,Late Jurassic 155-150 million years ago,Late Jurassic,155,150,Tanzania,armoured dinosaur,5.0,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Hennig (1915),Hennig,1915,aethiopicus,https://www.nhm.ac.uk/discover/dino-directory/kentrosaurus.html
Khaan,omnivorous,Late Cretaceous 81-75 million years ago,Late Cretaceous,81,75,Mongolia,small theropod,1.8,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,Clark Norell and Barsbold (2001),Clark Norell and Barsbold,2001,mckennai,https://www.nhm.ac.uk/discover/dino-directory/khaan.html
Kotasaurus,herbivorous,Early Jurassic 205-180 million years ago,Early Jurassic,205,180,India,sauropod,9.0,Dinosauria Saurischia Sauropodomorpha Sauropoda,Yadagiri (1988),Yadagiri,1988,yamanpalliensis,https://www.nhm.ac.uk/discover/dino-directory/kotasaurus.html
Kritosaurus,herbivorous,Late Cretaceous 78-74 million years ago,Late Cretaceous,78,74,USA,euornithopod,8.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Brown (1910),Brown,1910,navajovius,https://www.nhm.ac.uk/discover/dino-directory/kritosaurus.html
