name,diet,period_description,period,period_from,period_to,lived_in,type,length,taxonomy,named_description,named_by,named_year,species,link
Saurornithoides,carnivorous,Late Cretaceous 85-80 million years ago,Late Cretaceous,85,80,Mongolia,small theropod,3.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Osborn (1924),Osborn,1924,mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/saurornithoides.html
Scelidosaurus,herbivorous,Early Jurassic 208-194 million years ago,Early Jurassic,208,194,United Kingdom,armoured dinosaur,4.0,Dinosauria Ornithischia Genasauria Thyreophora Scelidosauridae,Owen (1868),Owen,1868,harrisonii,https://www.nhm.ac.uk/discover/dino-directory/scelidosaurus.html
Scutellosaurus,herbivorous,Early Jurassic 205-202 million years ago,Early Jurassic,205,202,USA,armoured dinosaur,1.2,Dinosauria Ornithischia Genasauria Thyreophora,Colbert (1981),Colbert,1981,lawleri,https://www.nhm.ac.uk/discover/dino-directory/scutellosaurus.html
Secernosaurus,herbivorous,Late Cretaceous 71-65 million years ago,Late Cretaceous,71,65,Argentina,euornithopod,3.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Brett-Surman (1979),Brett-Surman,1979,koerneri,https://www.nhm.ac.uk/discover/dino-directory/secernosaurus.html
Segisaurus,carnivorous,Mid Jurassic 195-180 million years ago,Mid Jurassic,195,180,USA,small theropod,1.5,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea Coelophysidae,Camp (1936),Camp,1936,halli,https://www.nhm.ac.uk/discover/dino-directory/segisaurus.html
Segnosaurus,carnivorous,Late Cretaceous 97-88 million years ago,Late Cretaceous,97,88,Mongolia,large theropod,4.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Perle (1979),Perle,1979,galbinensis,https://www.nhm.ac.uk/discover/dino-directory/segnosaurus.html
Shamosaurus,herbivorous,Early Cretaceous 121-99 million years ago,Early Cretaceous,121,99,Mongolia,armoured dinosaur,,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Tumanova (1983),Tumanova,1983,scutatus,https://www.nhm.ac.uk/discover/dino-directory/shamosaurus.html
Shanag,carnivorous,Early Cretaceous 142-126 million years ago,Early Cretaceous,142,126,Mongolia,small theropod,0.45,Dinosauria Saurischia,Turner Hwang and Norell (2007),Turner Hwang and Norell,2007,ashile,https://www.nhm.ac.uk/discover/dino-directory/shanag.html
Shantungosaurus,herbivorous,Late Cretaceous 78-74 million years ago,Late Cretaceous,78,74,China,euornithopod,15.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Hu (1973),Hu,1973,giganteus,https://www.nhm.ac.uk/discover/dino-directory/shantungosaurus.html
Shunosaurus,herbivorous,Mid Jurassic 170-160 million years ago,Mid Jurassic,170,160,China,sauropod,10.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Dong Zhou and Zhang (1983),Dong Zhou and Zhang,1983,lii,https://www.nhm.ac.uk/discover/dino-directory/shunosaurus.html
Shuvuuia,omnivorous,Late Cretaceous 81-75 million years ago,Late Cretaceous,81,75,Mongolia,small theropod,0.6,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,Chiappe Norell and Clark (1998),Chiappe Norell and Clark,1998,deserti,https://www.nhm.ac.uk/discover/dino-directory/shuvuuia.html
Silvisaurus,herbivorous,Early Cretaceous 121-112 million years ago,Early Cretaceous,121,112,USA,armoured dinosaur,4.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Eaton (1960),Eaton,1960,condrayi,https://www.nhm.ac.uk/discover/dino-directory/silvisaurus.html
Sinocalliopteryx,carnivorous,Early Cretaceous 125 million years ago,Early Cretaceous,125,125,China,small theropod,2.37,Dinosauria Saurischia,Ji Ji Lü and Yuan (2007),Ji Ji Lü and Yuan,2007,gigas,https://www.nhm.ac.uk/discover/dino-directory/sinocalliopteryx.html
Sinornithosaurus,carnivorous,Early Cretaceous 122-120 million years ago,Early Cretaceous,122,120,China,small theropod,2.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Xu Wang and Wu (1999),Xu Wang and Wu,1999,millenii,https://www.nhm.ac.uk/discover/dino-directory/sinornithosaurus.html
Sinosauropteryx,carnivorous,Early Cretaceous 122-120 million years ago,Early Cretaceous,122,120,China,small theropod,1.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,Ji and Ji (1996),Ji and Ji,1996,prima,https://www.nhm.ac.uk/discover/dino-directory/sinosauropteryx.html
Sinovenator,carnivorous,Early Cretaceous 127-121 million years ago,Early Cretaceous,127,121,China,small theropod,1.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Xu Norell Wang Makovicky and Wu (2002),Xu Norell Wang Makovicky and Wu,2002,changii,https://www.nhm.ac.uk/discover/dino-directory/sinovenator.html
Sinraptor,carnivorous,Mid Jurassic 169-142 million years ago,Mid Jurassic,169,142,China,large theropod,7.6,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Sinraptoridae,Gao (1992),Gao,1992,hepingensis,https://www.nhm.ac.uk/discover/dino-directory/sinraptor.html
Sonidosaurus,herbivorous,Late Cretaceous 89-65 million years ago,Late Cretaceous,89,65,China,sauropod,9.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Xu Zhang Tan Zhao and Tan (2006),Xu Zhang Tan Zhao and Tan,2006,saihangaobiensis,https://www.nhm.ac.uk/discover/dino-directory/sonidosaurus.html
Spinosaurus,carnivorous,Late Cretaceous 95-70 million years ago,Late Cretaceous,95,70,Morocco,large theropod,18.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Spinosaurinae,Stromer (1915),Stromer,1915,aegyptiacus,https://www.nhm.ac.uk/discover/dino-directory/spinosaurus.html
Staurikosaurus,carnivorous,Late Triassic 227-221 million years ago,Late Triassic,227,221,Brazil,large theropod,2.0,Dinosauria Saurischia Theropoda Herrerasauridae,Colbert (1970),Colbert,1970,pricei,https://www.nhm.ac.uk/discover/dino-directory/staurikosaurus.html
Stegoceras,herbivorous,Late Cretaceous 76-74 million years ago,Late Cretaceous,76,74,USA,euornithopod,2.4,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,Lambe (1902),Lambe,1902,validum,https://www.nhm.ac.uk/discover/dino-directory/stegoceras.html
Stegosaurus,herbivorous,Late Jurassic 155-145 million years ago,Late Jurassic,155,145,USA,armoured dinosaur,9.0,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Marsh (1877),Marsh,1877,armatus,https://www.nhm.ac.uk/discover/dino-directory/stegosaurus.html
Stenopelix,herbivorous,Early Cretaceous 127-121 million years ago,Early Cretaceous,127,121,Germany,ceratopsian,1.5,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria,Meyer (1857),Meyer,1857,valdensis,https://www.nhm.ac.uk/discover/dino-directory/stenopelix.html
Struthiomimus,omnivorous,Late Cretaceous 76-74 million years ago,Late Cretaceous,76,74,Canada,small theropod,4.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Osborn (1917),Osborn,1917,altus,https://www.nhm.ac.uk/discover/dino-directory/struthiomimus.html
Struthiosaurus,herbivorous,Late Cretaceous 83-75 million years ago,Late Cretaceous,83,75,Spain,armoured dinosaur,2.5,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Bunzel (1871),Bunzel,1871,austriacus,https://www.nhm.ac.uk/discover/dino-directory/struthiosaurus.html
Styracosaurus,herbivorous,Late Cretaceous 76-70 million years ago,Late Cretaceous,76,70,USA,ceratopsian,5.5,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Lambe (1913),Lambe,1913,albertensis,https://www.nhm.ac.uk/discover/dino-directory/styracosaurus.html
Suchomimus,carnivorous,Early Cretaceous 121-112 million years ago,Early Cretaceous,121,112,Niger,large theropod,11.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Baryonychinae,Sereno Beck Dutheil Gado Larsson Lyon Marcot Rauhut Sadleir Sidor Varricchio Wilson and Wilson (1998),Sereno Beck Dutheil Gado Larsson Lyon Marcot Rauhut Sadleir Sidor Varricchio Wilson and Wilson,1998,tenerensis,https://www.nhm.ac.uk/discover/dino-directory/suchomimus.html
Supersaurus,herbivorous,Early Cretaceous 154-142 million years ago,Early Cretaceous,154,142,USA,sauropod,35.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,Jansen (1985),Jansen,1985,vivianae,https://www.nhm.ac.uk/discover/dino-directory/supersaurus.html
Talarurus,herbivorous,Late Cretaceous 99-89 million years ago,Late Cretaceous,99,89,Mongolia,armoured dinosaur,6.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Maleev (1952),Maleev,1952,plicatospineus,https://www.nhm.ac.uk/discover/dino-directory/talarurus.html
Tanius,herbivorous,Late Cretaceous 89-65 million years ago,Late Cretaceous,89,65,China,euornithopod,,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Wiman (1929),Wiman,1929,sinensis,https://www.nhm.ac.uk/discover/dino-directory/tanius.html
Tarbosaurus,carnivorous,Late Cretaceous 74-70 million years ago,Late Cretaceous,74,70,Mongolia,large theropod,10.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,Maleev (1955),Maleev,1955,bataar,https://www.nhm.ac.uk/discover/dino-directory/tarbosaurus.html
Tarchia,herbivorous,Late Cretaceous 75-68 million years ago,Late Cretaceous,75,68,Mongolia,armoured dinosaur,8.5,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosaurinae,Maleev (1956),Maleev,1956,gigantea,https://www.nhm.ac.uk/discover/dino-directory/tarchia.html
Telmatosaurus,herbivorous,Late Cretaceous 84-65 million years ago,Late Cretaceous,84,65,Spain,euornithopod,5.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Nopcsa (1900),Nopcsa,1900,transsylvanicus,https://www.nhm.ac.uk/discover/dino-directory/telmatosaurus.html
Tenontosaurus,herbivorous,Early Cretaceous 120-110 million years ago,Early Cretaceous,120,110,USA,euornithopod,7.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia,Ostrom (1970),Ostrom,1970,tillettorum,https://www.nhm.ac.uk/discover/dino-directory/tenontosaurus.html
Thecodontosaurus,omnivorous,Late Triassic 227-205 million years ago,Late Triassic,227,205,United Kingdom,sauropod,2.5,Dinosauria Saurischia Sauropodomorpha Prosauropoda,Morris (1843),Morris,1843,antiquus,https://www.nhm.ac.uk/discover/dino-directory/thecodontosaurus.html
Therizinosaurus,unknown,Late Cretaceous 85-70 million years ago,Late Cretaceous,85,70,Mongolia,large theropod,,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Maleev (1915),Maleev,1915,cheloniformis,https://www.nhm.ac.uk/discover/dino-directory/therizinosaurus.html
Thescelosaurus,herbivorous,Late Cretaceous 76-67 million years ago,Late Cretaceous,76,67,USA,euornithopod,3.5,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Gilmore (1913),Gilmore,1913,neglectus,https://www.nhm.ac.uk/discover/dino-directory/thescelosaurus.html
Torosaurus,herbivorous,Late Cretaceous 70-65 million years ago,Late Cretaceous,70,65,USA,ceratopsian,7.5,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Marsh (1891),Marsh,1891,latus,https://www.nhm.ac.uk/discover/dino-directory/torosaurus.html
Torvosaurus,carnivorous,Late Jurassic 155-144 million years ago,Late Jurassic,155,144,USA,large theropod,10.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,Galton and Jensen (1979),Galton and Jensen,1979,tanneri,https://www.nhm.ac.uk/discover/dino-directory/torvosaurus.html
Triceratops,herbivorous,Late Cretaceous 68-66 million years ago,Late Cretaceous,68,66,USA,ceratopsian,9.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Marsh (1889),Marsh,1889,horridus,https://www.nhm.ac.uk/discover/dino-directory/triceratops.html
Troodon,carnivorous,Late Cretaceous 74-65 million years ago,Late Cretaceous,74,65,USA,small theropod,2.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Leidy (1856),Leidy,1856,formosus,https://www.nhm.ac.uk/discover/dino-directory/troodon.html
Tsagantegia,herbivorous,Late Cretaceous 99-84 million years ago,Late Cretaceous,99,84,Mongolia,armoured dinosaur,,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Tumanova (1993),Tumanova,1993,longicranialis,https://www.nhm.ac.uk/discover/dino-directory/tsagantegia.html
Tsintaosaurus,herbivorous,Late Cretaceous 84-71 million years ago,Late Cretaceous,84,71,China,euornithopod,12.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Young (1958),Young,1958,spinorhinus,https://www.nhm.ac.uk/discover/dino-directory/tsintaosaurus.html
Tuojiangosaurus,herbivorous,Late Jurassic 157-154 million years ago,Late Jurassic,157,154,China,armoured dinosaur,7.0,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Dong Li Zhou and Zhang (1973),Dong Li Zhou and Zhang,1973,multispinus,https://www.nhm.ac.uk/discover/dino-directory/tuojiangosaurus.html
Tylocephale,herbivorous,Late Cretaceous 75-72 million years ago,Late Cretaceous,75,72,Mongolia,euornithopod,1.4,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,Maryańska and Osmólska (1974),Maryańska and Osmólska,1974,gilmorei,https://www.nhm.ac.uk/discover/dino-directory/tylocephale.html
Tyrannosaurus,carnivorous,Late Cretaceous 68-66 million years ago,Late Cretaceous,68,66,USA,large theropod,12.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,Osborn (1905),Osborn,1905,rex,https://www.nhm.ac.uk/discover/dino-directory/tyrannosaurus.html
Udanoceratops,herbivorous,Late Cretaceous 81-75 million years ago,Late Cretaceous,81,75,Mongolia,ceratopsian,,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,Kurzanov (1992),Kurzanov,1992,tschizhovi,https://www.nhm.ac.uk/discover/dino-directory/udanoceratops.html
Unenlagia,carnivorous,Late Cretaceous 94-86 million years ago,Late Cretaceous,94,86,Argentina,small theropod,2.4,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Novas and Puerta (1997),Novas and Puerta,1997,comahuensis,https://www.nhm.ac.uk/discover/dino-directory/unenlagia.html
Urbacodon,carnivorous,Late Cretaceous 95 million years ago,Late Cretaceous,95,95,Uzbekistan,small theropod,1.0,Dinosauria Saurischia,Averianov and Sues (2007),Averianov and Sues,2007,itemirensis,https://www.nhm.ac.uk/discover/dino-directory/urbacodon.html
Utahraptor,carnivorous,Early Cretaceous 112-100 million years ago,Early Cretaceous,112,100,USA,large theropod,6.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Kirkland Gaston and Burge (1993),Kirkland Gaston and Burge,1993,ostrommaysorum,https://www.nhm.ac.uk/discover/dino-directory/utahraptor.html
Valdosaurus,herbivorous,Early Cretaceous 142-121 million years ago,Early Cretaceous,142,121,United Kingdom,euornithopod,3.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Dryosauridae,Galton (1975),Galton,1975,canaliculatus,https://www.nhm.ac.uk/discover/dino-directory/valdosaurus.html
Velociraptor,carnivorous,Late Cretaceous 74-70 million years ago,Late Cretaceous,74,70,Mongolia,small theropod,1.8,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Osborn (1924),Osborn,1924,mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/velociraptor.html
Vulcanodon,herbivorous,Early Jurassic 205-202 million years ago,Early Jurassic,205,202,Zimbabwe,sauropod,6.5,Dinosauria Saurischia Sauropodomorpha Sauropoda Vulcanodontidae,Raath (1972),Raath,1972,karibaensis,https://www.nhm.ac.uk/discover/dino-directory/vulcanodon.html
Yandusaurus,herbivorous,Mid Jurassic 169-159 million years ago,Mid Jurassic,169,159,China,euornithopod,3.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,He (1979),He,1979,hongheensis,https://www.nhm.ac.uk/discover/dino-directory/yandusaurus.html
Yangchuanosaurus,carnivorous,Late Jurassic 160-144 million years ago,Late Jurassic,160,144,China,large theropod,10.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Sinraptoridae,Dong Chang Li and Zhou (1978),Dong Chang Li and Zhou,1978,shangyouensis,https://www.nhm.ac.uk/discover/dino-directory/yangchuanosaurus.html
Yimenosaurus,herbivorous,Early Jurassic 195-190 million years ago,Early Jurassic,195,190,China,sauropod,9.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda,Bai Yang and Wang (1990),Bai Yang and Wang,1990,youngi,https://www.nhm.ac.uk/discover/dino-directory/yimenosaurus.html
Yingshanosaurus,herbivorous,Late Jurassic 159-142 million years ago,Late Jurassic,159,142,China,armoured dinosaur,,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria,Watanabe (1992),Watanabe,1992,jichuanensis,https://www.nhm.ac.uk/discover/dino-directory/yingshanosaurus.html
Yinlong,herbivorous,Mid Jurassic 159-154 million years ago,Mid Jurassic,159,154,China,ceratopsian,1.2,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia,Xu Forster Clark and Mo (2006),Xu Forster Clark and Mo,2006,downsi,https://www.nhm.ac.uk/discover/dino-directory/yinlong.html
Yuanmousaurus,herbivorous,Mid Jurassic 180-159 million years ago,Mid Jurassic,180,159,China,sauropod,17.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Lü Li Ji Wang Zhang and Dong (2006),Lü Li Ji Wang Zhang and Dong,2006,jiangyiensis,https://www.nhm.ac.uk/discover/dino-directory/yuanmousaurus.html
Yunnanosaurus,omnivorous,Early Jurassic 205-190 million years ago,Early Jurassic,205,190,China,sauropod,7.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria,Young (1942),Young,1942,huangi,https://www.nhm.ac.uk/discover/dino-directory/yunnanosaurus.html
Zalmoxes,herbivorous,Late Cretaceous 69 million years ago,Late Cretaceous,69,69,Romania,euornithopod,3.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Rhabdodontidae,Nopcsa (1902),Nopcsa,1902,robustus,https://www.nhm.ac.uk/discover/dino-directory/zalmoxes.html
Zephyrosaurus,herbivorous,Early Cretaceous 120-110 million years ago,Early Cretaceous,120,110,USA,euornithopod,1.8,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Sues (1980),Sues,1980,schaffi,https://www.nhm.ac.uk/discover/dino-directory/zephyrosaurus.html
Zuniceratops,herbivorous,Late Cretaceous 94-89 million years ago,Late Cretaceous,94,89,USA,ceratopsian,,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,Wolfe and Kirkland (1998),Wolfe and Kirkland,1998,christopheri,https://www.nhm.ac.uk/discover/dino-directory/zuniceratops.html
